group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
6347,1677102406839.0,19.87,0.0017113238281410092,surge,5,0.022744762555156985,0.11372381277578492,0.11372381277578492,6348.0,1677108493091.0,-0.0030935715514761376,precursor,20.37,3832463.1,34153317.12,430656.72,306529.46,1.0,-0.0030935715514761376,-0.0030935715514761376
6349,1677109987822.0,20.31,0.0035073834099351832,surge,1,0.0035073834099351832,0.0035073834099351832,0.0035073834099351832,6350.0,1677111331768.0,0.0004916188045974379,precursor,20.34,3977781.76,34088230.43,437835.0,303762.13,2.0,-0.003337785114432057,-0.006675570228864114
6351,1677113354456.0,20.34,0.0006434792409994672,surge,5,0.01841688305700049,0.09208441528500244,0.09208441528500244,6352.0,1677122939534.0,-0.001888152494704276,precursor,20.64,2607462.18,33094273.28,368553.43,254930.0,2.0,-0.003824748121412147,-0.007649496242824294
6353,1677126902868.0,20.61,0.00456976626780845,surge,1,0.00456976626780845,0.00456976626780845,0.00456976626780845,6354.0,1677129614447.0,-0.0027026409566346054,precursor,20.7,2939791.43,32991334.0,384477.91,254294.96,3.0,-0.008475434139209915,-0.025426302417629745
6355,1677135070311.0,20.48,0.0035634538610808232,surge,3,0.007651960136364256,0.022955880409092768,0.022955880409092768,6356.0,1677142447829.0,-0.0010638758944999439,precursor,20.64,2674550.28,33103161.01,372055.63,259493.22,6.0,-0.036228844684603675,-0.21737306810762205
6357,1677155442363.0,20.0,0.008997893889708397,surge,1,0.008997893889708397,0.008997893889708397,0.008997893889708397,6358.0,1677159639231.0,-0.0028225105248173565,precursor,20.08,2351766.38,33338573.16,356770.58,272244.53,4.0,-0.11170105573501346,-0.44680422294005384
6359,1677168159944.0,19.84,0.07011509317350531,surge,2,0.07082073833479562,0.14164147666959123,0.14164147666959123,6360.0,1677168220043.0,-0.00040279434611386613,precursor,19.84,3594130.33,34297422.97,421083.4,319977.95,1.0,-0.00040279434611386613,-0.00040279434611386613
6361,1677168250152.0,19.85,0.0007558198586170128,surge,1,0.0007558198586170128,0.0007558198586170128,0.0007558198586170128,6362.0,1677168280165.0,0.00030269795213022643,precursor,19.88,3643502.51,34256878.1,423550.11,317884.0,8.0,-0.004083302028187674,-0.03266641622550139
6363,1677168651973.0,19.8,0.002022321666457283,surge,1,0.002022321666457283,0.002022321666457283,0.002022321666457283,6364.0,1677168754609.0,-0.0003023934749586954,precursor,19.83,3620160.06,34239534.79,422646.98,317231.65,5.0,-0.0023709344194725256,-0.011854672097362629
6365,1677169317932.0,19.78,0.001264568092519669,surge,2,0.00328533210501083,0.00657066421002166,0.00657066421002166,6366.0,1677169630773.0,-0.00166328116199852,precursor,19.82,3576733.42,34341952.28,420403.5,321848.51,1.0,-0.00166328116199852,-0.00166328116199852
6367,1677169780628.0,19.84,0.0015149987784540686,surge,1,0.0015149987784540686,0.0015149987784540686,0.0015149987784540686,6368.0,1677169983986.0,0.00030252105113937056,precursor,19.85,3585575.09,34353335.04,420759.84,322350.88,2.0,-0.002822201837668614,-0.005644403675337228
