,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
2442,4885,1673256000000.0,12.38,0.0021098128,surge,3,0.011135471,0.033406414,0.033406414,4886.0,1673262400000.0,-0.0010375086,precursor,12.52,0.009401916,0.00030012184,0.0032098584,0.0012803015,2.0,-0.005752468,-0.011504936,Cluster 0
2443,4887,1673268600000.0,12.46,0.0018491971,surge,1,0.0018491971,0.0018491971,0.0018491971,4888.0,1673270900000.0,-0.006170838,precursor,12.49,0.00071841007,-0.0011414323,-0.0004633055,-0.004520074,1.0,-0.006170838,-0.006170838,Cluster 0
2444,4889,1673274700000.0,12.45,0.006925712,surge,3,0.0150326025,0.04509781,0.04509781,4890.0,1673282600000.0,-0.0012678838,precursor,12.6,-0.008737102,0.027901093,-0.0060691168,0.11555563,2.0,-0.0039704186,-0.007940837,Cluster 0
2445,4891,1673288900000.0,12.51,0.1807167,surge,1,0.1807167,0.1807167,0.1807167,4892.0,1673291500000.0,-0.0053639146,precursor,12.39,-0.6765108,-0.95431495,-0.49087456,-0.38529187,5.0,-0.008917711,-0.044588555,Cluster 0
2446,4893,1673291600000.0,12.35,0.0015384615,surge,2,0.0026708865,0.005341773,0.005341773,4894.0,1673291800000.0,-0.00040361643,precursor,12.38,-0.027670162,-0.0013195063,-0.009010146,-0.006037904,1.0,-0.00040361643,-0.00040361643,Cluster 0
2447,4895,1673291800000.0,12.38,0.00056555873,surge,3,0.004115576,0.012346727,0.012346727,4896.0,1673291900000.0,-0.001045792,precursor,12.43,0.06583116,0.00391669,0.026588837,0.016157016,2.0,-0.0007230175,-0.001446035,Cluster 0
2448,4897,1673292000000.0,12.43,0.0008056723,surge,1,0.0008056723,0.0008056723,0.0008056723,4898.0,1673292000000.0,-0.0010458567,precursor,12.42,-0.0076817013,0.0014680554,-0.0032104764,0.005600927,4.0,-0.003220159,-0.012880636,Cluster 0
2449,4899,1673292400000.0,12.39,0.000728087,surge,3,0.0027436314,0.008230895,0.008230895,4900.0,1673293000000.0,1.2954996e-07,precursor,12.43,-0.0111430865,-0.0014756455,-0.004054055,-0.0067965062,4.0,-0.003060686,-0.012242744,Cluster 0
2450,4901,1673293600000.0,12.41,0.0016150526,surge,1,0.0016150526,0.0016150526,0.0016150526,4902.0,1673293700000.0,-0.0008056717,precursor,12.39,0.00653223,0.0033525007,0.0025451633,0.014088643,6.0,-0.01775833,-0.106549986,Cluster 0
2451,4903,1673295300000.0,12.17,0.003041276,surge,1,0.003041276,0.003041276,0.003041276,4904.0,1673296000000.0,-0.00211007,precursor,12.27,-0.0006075744,-0.0017893971,-0.0026883737,-0.009468361,5.0,-0.007268688,-0.03634344,Cluster 0
2452,4905,1673297900000.0,12.16,0.002968538,surge,3,0.007729642,0.023188926,0.023188926,4906.0,1673299600000.0,-0.0013057227,precursor,12.25,0.008668409,-0.0021589738,0.0032897852,-0.008381198,5.0,-0.006377537,-0.031887684,Cluster 0
2453,4907,1673302500000.0,12.21,0.004365465,surge,2,0.0069063157,0.013812631,0.013812631,4908.0,1673304500000.0,-0.0009778532,precursor,12.24,-0.020796979,0.00018673133,-0.010654284,0.00013835616,2.0,-0.006621934,-0.013243868,Cluster 0
2454,4909,1673306400000.0,12.19,0.0030452705,surge,2,0.0059162746,0.011832549,0.011832549,4910.0,1673307600000.0,-0.001144324,precursor,12.22,0.008998865,-0.018824369,0.0029978754,-0.07505586,1.0,-0.001144324,-0.001144324,Cluster 0
2455,4911,1673308500000.0,12.21,0.0018857182,surge,3,0.011518631,0.034555893,0.034555893,4912.0,1673312600000.0,-7.881296e-05,precursor,12.36,-0.0030160232,5.3169197e-06,-0.0011434318,-0.00053549896,2.0,-0.0033166336,-0.0066332673,Cluster 0
2456,4913,1673314400000.0,12.28,0.0012186537,surge,1,0.0012186537,0.0012186537,0.0012186537,4914.0,1673315900000.0,0.00024627012,precursor,12.31,0.001992009,-0.0012147303,-0.00018712459,-0.0055922675,3.0,-0.013820728,-0.041462187,Cluster 0
2457,4915,1673320200000.0,12.16,0.003379686,surge,4,0.011157814,0.044631258,0.044631258,4916.0,1673324800000.0,0.0004884662,precursor,12.29,0.018030627,-0.0003067058,0.008134895,-0.0014862715,1.0,0.0004884662,0.0004884662,Cluster 0
2458,4917,1673326200000.0,12.34,0.004149855,surge,1,0.004149855,0.004149855,0.004149855,4918.0,1673327400000.0,-0.0016176035,precursor,12.33,0.005926046,0.0025290835,0.0025717642,0.010581012,1.0,-0.0016176035,-0.0016176035,Cluster 0
2459,4919,1673328600000.0,12.34,0.0031634124,surge,2,0.005346965,0.01069393,0.01069393,4920.0,1673332000000.0,-0.0034680031,precursor,12.39,0.008193411,0.0020847938,0.0037535138,0.008190223,3.0,-0.00532878,-0.01598634,Cluster 0
2460,4921,1673336700000.0,12.35,0.00073078217,surge,3,0.010441889,0.031325668,0.031325668,4922.0,1673342900000.0,-0.00047510312,precursor,12.5,0.0023475252,-0.0013372625,-0.00067221816,-0.0074877166,1.0,-0.00047510312,-0.00047510312,Cluster 0
2461,4923,1673344500000.0,12.44,0.0016094523,surge,2,0.002492215,0.00498443,0.00498443,4924.0,1673350200000.0,-0.0023224414,precursor,12.49,-0.0091216,0.00045764027,-0.0042144456,0.0017244222,2.0,-0.004880251,-0.009760502,Cluster 0
2462,4925,1673354800000.0,12.44,0.0007283311,surge,1,0.0007283311,0.0007283311,0.0007283311,4926.0,1673356100000.0,-0.0020113953,precursor,12.42,0.006074105,0.0007519838,0.0024953126,0.0034887749,1.0,-0.0020113953,-0.0020113953,Cluster 0
