mp,tav,tbv,bc,ac,time
10.32,272298.381,18572.423,191184.333,12834374.18,1693252404
10.32,272951.494,18572.423,191183.095,12841113.117,1693252407
10.32,271977.527,18572.423,191184.333,12831062.967,1693252410
10.32,271253.474,18572.423,191185.711,12823595.502,1693252413
10.32,271253.474,18572.423,191185.711,12823595.502,1693252416
10.32,271080.529,19133.194,196965.874,12821831.235,1693252419
10.32,271070.529,19079.382,196423.377,12821727.735,1693252423
10.32,271070.529,19079.382,196423.68,12821727.904,1693252425
10.32,270494.932,18815.971,193715.019,12815770.579,1693252428
10.32,270413.182,18815.971,193715.019,12814924.393,1693252431
10.32,270413.182,18815.971,193715.019,12814926.805,1693252434
10.32,270912.898,18740.424,192937.791,12820078.667,1693252437
10.32,271412.898,18739.572,192929.209,12825238.667,1693252440
10.32,272087.372,18740.676,192927.248,12832186.044,1693252443
10.32,272087.372,18740.676,192927.248,12832185.532,1693252447
10.32,272206.302,18740.676,192926.005,12833407.796,1693252449
10.32,272254.715,18740.676,192926.005,12833906.408,1693252453
10.32,272422.971,18351.359,188907.966,12835631.871,1693252456
10.32,272809.975,18736.262,192876.693,12839631.744,1693252458
10.32,272858.388,18736.262,192876.693,12840132.092,1693252461
10.32,271478.198,18729.065,192808.563,12825900.754,1693252464
10.32,271478.198,18729.065,192808.563,12825900.754,1693252467
10.32,271478.198,18729.065,192808.563,12825900.754,1693252471
10.32,271478.198,18729.065,192808.563,12825903.254,1693252473
10.32,271478.592,18729.065,192808.563,12825909.659,1693252476
10.32,271019.144,18765.249,193181.032,12821168.156,1693252480
10.32,271286.596,18765.249,193180.896,12823939.57,1693252482
10.32,271286.596,18765.249,193180.896,12823939.57,1693252486
10.32,271286.596,18765.249,193180.896,12823939.57,1693252488
10.32,271963.999,18615.264,191632.586,12830922.649,1693252491
10.32,271963.87,18765.264,193179.086,12830919.695,1693252494
10.32,271496.437,18104.148,186371.959,12826085.827,1693252497
10.32,273359.916,16683.338,171655.577,12845257.753,1693252501
10.32,273356.616,17807.534,183228.039,12845227.121,1693252504
10.32,271881.094,18277.674,188148.766,12830017.762,1693252507
10.32,272063.408,18757.124,193083.549,12831907.775,1693252510
10.32,272739.161,18375.613,189145.989,12838871.548,1693252513
10.32,272763.376,18544.142,190883.098,12839130.933,1693252515
10.32,272686.753,18544.142,190883.098,12838340.184,1693252518
10.32,271986.792,18815.873,193689.629,12831117.099,1693252521
10.32,271986.792,18815.873,193689.629,12831117.099,1693252524
10.32,272105.657,18815.888,193688.905,12832343.273,1693252528
10.32,272105.657,18815.888,193688.905,12832343.273,1693252530
10.32,271118.014,18889.875,194462.71,12822174.788,1693252534
10.32,271158.979,18889.875,194463.477,12822598.304,1693252537
10.32,271158.979,18889.875,194463.477,12822601.392,1693252540
10.32,271159.366,18889.875,194463.206,12822603.082,1693252542
10.32,271159.021,18889.875,194463.477,12822601.828,1693252546
10.32,271159.021,18889.875,194463.477,12822601.828,1693252549
10.32,271159.021,18889.875,194463.477,12822601.828,1693252551
10.32,271159.021,18904.907,194618.157,12822601.997,1693252555
10.32,271200.654,18904.907,194618.157,12823031.481,1693252558
10.32,271200.654,18904.907,194618.459,12823034.19,1693252561
10.32,271200.654,18702.529,192535.687,12823034.19,1693252564
10.32,270166.8,19635.282,202153.216,12812368.774,1693252567
10.32,270166.8,19635.282,202152.673,12812367.386,1693252570
10.32,270166.8,19614.996,201955.216,12812368.774,1693252572
10.32,270166.8,19614.996,201955.216,12812367.386,1693252576
10.32,270210.644,18955.128,195151.675,12812819.305,1693252579
10.32,269660.609,19042.356,196039.251,12807128.855,1693252582
10.32,270210.644,19042.356,196039.444,12812821.717,1693252585
10.32,270210.644,19244.605,198120.888,12812821.886,1693252588
10.32,270210.644,19157.466,197235.432,12812821.717,1693252590
10.32,270210.644,19157.466,197235.13,12812821.717,1693252594
10.32,270250.878,19157.466,197235.13,12813237.334,1693252597
10.32,270123.793,19158.496,197248.631,12811931.998,1693252600
10.32,270123.793,19157.781,197244.328,12811931.998,1693252603
10.32,269881.648,18562.706,191091.627,12809358.571,1693252606
10.32,270446.399,18840.431,193955.634,12815241.192,1693252609
10.32,270977.595,18840.431,193955.499,12820725.462,1693252612
10.32,270859.556,18690.416,192409.571,12819496.219,1693252615
10.32,270496.877,18840.416,193956.071,12815753.372,1693252618
10.32,270496.877,18840.416,193956.207,12815753.372,1693252621
10.32,270223.995,18840.416,193956.207,12812937.23,1693252624
10.32,270162.94,18945.562,195039.175,12812328.949,1693252627
10.32,269725.717,18977.191,195391.859,12807820.607,1693252630
10.32,270104.03,18977.191,195391.859,12811735.684,1693252633
10.32,270104.03,18977.191,195391.859,12811735.684,1693252636
10.32,270104.03,18577.233,191279.476,12811735.835,1693252639
10.32,270104.03,18577.233,191279.476,12811737.528,1693252642
10.32,270104.03,18577.194,191279.074,12811738.223,1693252645
10.32,269458.889,18658.404,192115.537,12805073.93,1693252648
10.32,269453.513,19256.104,198263.154,12805018.45,1693252651
10.32,269376.48,19256.104,198266.176,12804220.251,1693252654
10.32,269373.68,19256.104,198266.176,12804191.355,1693252657
10.32,269370.88,19256.104,198266.176,12804164.323,1693252660
10.33,270510.381,18094.328,186379.853,12816312.148,1693252663
10.33,271196.518,18222.216,187700.294,12823393.031,1693252666
10.33,270627.768,18315.775,188669.94,12817537.751,1693252669
10.33,270683.593,18715.775,192801.527,12818115.1,1693252672
10.33,270683.593,18739.953,193051.529,12818115.1,1693252675
10.33,270702.43,18758.705,193245.548,12818314.708,1693252678
10.33,270358.591,18758.705,193248.636,12814762.852,1693252681
10.33,270358.591,18685.105,192490.556,12814762.852,1693252684
10.33,270358.591,18685.105,192490.556,12814762.852,1693252687
10.33,270340.562,18685.105,192490.556,12814576.612,1693252690
10.33,270340.562,18035.105,185782.556,12814576.612,1693252693
10.33,270340.562,18035.105,185782.556,12814576.612,1693252696
10.33,268729.137,18357.796,189156.579,12797927.426,1693252699
10.33,268622.253,17693.614,182324.047,12796846.119,1693252702
10.33,268124.596,17214.164,177384.431,12791703.69,1693252705
10.33,268905.199,18005.596,185540.08,12799788.449,1693252708
10.33,268905.054,18005.596,185540.08,12799787.722,1693252711
10.33,269116.37,18005.596,185539.777,12801901.983,1693252714
10.33,269950.921,18005.596,185539.777,12810582.839,1693252717
10.33,269859.116,18005.596,185539.777,12809630.941,1693252720
10.33,268987.262,17824.827,183678.373,12800627.402,1693252723
10.33,269410.546,18026.996,185760.411,12805000.489,1693252726
10.33,269060.546,17824.827,183678.071,12801384.989,1693252729
10.33,269060.546,18027.001,185779.433,12801384.989,1693252732
10.33,269060.546,18027.001,185779.433,12801384.989,1693252735
10.33,269710.546,18027.001,185779.433,12808099.489,1693252738
10.33,269258.831,18656.82,192270.172,12803413.824,1693252741
10.33,269258.831,18656.82,192270.172,12803413.824,1693252744
10.33,269267.193,18582.35,191492.799,12803488.31,1693252747
10.33,268879.364,17930.236,184771.532,12799518.377,1693252750
10.33,268601.548,18620.609,191900.691,12796642.367,1693252753
10.33,268956.499,18590.39,191589.133,12800318.888,1693252756
10.33,269858.391,18129.915,186825.287,12809635.263,1693252759
10.33,269858.391,18579.915,191469.287,12809635.263,1693252762
10.33,269761.061,18579.915,191469.287,12808629.344,1693252765
